"","text","emotion","polarity"
"297","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"298","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin","surprise","positive"
"299","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed b","surprise","positive"
"300","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"301","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"302","sinovac customer input from philippines","surprise","positive"
"303","sinovac says its covid19 vaccine more effective with longer dosing interval astrazeneca dosinginterval brazil","surprise","positive"
"304","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a delay i","fear","negative"
"305","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a delay i","fear","negative"
"306","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a delay i","fear","negative"
"307","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a delay i","fear","negative"
"308","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a dela","fear","negative"
"309","looks like chinaccp rushed this sinovac a bit","fear","positive"
"310","sinovac is only 504 accuracy which means the vaccine will not work half of the times","anger","positive"
"311","this is real good news for the philippines on vaccine and possible recovery of our recovery sinovac","joy","positive"
"312","efficacy estimates for chinese covid19vaccines diverge widely sinopharm claims 79 without providing details on","surprise","negative"
"313","presidential spokesperson harry roque made this assurance insisting that sinovac has accorded the best price to the philip","joy","positive"
"314","23 die in norway after receiving pfizer covid19 vaccine

vaccine pfizer pfizerbiontech sinovac sputnikv coronavirusvac","fear","positive"
"315","our officials in the philippines paicularly galvez and roque are claiming the price you mentio","joy","positive"
"316","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"317","coronavirus worldwide the number of confirmed cases reaches 95491215 coronavac sinovac pazaesilock","surprise","positive"
"318","turkeys coronavirus death toll rises to 23997 turkey coronaviruspandemicsinovacpfizer lockdown","anger","negative"
"319","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"320","turkeys coronavirus death toll rises to 23997 turkey coronaviruspandemicsinovacpfizer","anger","negative"
"321","question why does the ph have a confidentiality agreement with china while all other countries dealing with them a","disgust","negative"
"322","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"323","lets all remember covidー19 covid19 is just one of the viruses we will live with forever lets not forget the rest","anger","positive"
"324","coronavirus worldwide the number of confirmed cases reaches 95491215 coronavac sinovac pazaesi","surprise","positive"
"325","getting vaccines from both turkeysinovacand the eupfizerbiontechis a huge oppounity for the","surprise","positive"
"326","the sãopaulo government and butantan institute revealed that the sinovac covid19 vaccine is 156 less effecti","fear","negative"
"327","astrazeneca wins approval for its covid19 vaccine in pakistan and brazil 
astrazeneca drap pakistan","joy","positive"
"328","astrazeneca wins approval for its covid19 vaccine in pakistan and brazil 
astrazeneca drap pakistan","joy","positive"
"329","senator panfilo lacsons privilege speech on phs acquisition of covid1 sinovacvia","joy","positive"
"330","covid brazil approves and rolls out astrazeneca and sinovac vaccinesbbc news","joy","positive"
"331","brazil staed to roll out chinas sinovac covid19 vaccine on sunday sholy after the countrys health regulator","joy","negative"
"332","brazil staed to roll out chinas sinovac covid19 vaccine on sunday sholy after the countrys health regulat","joy","negative"
"333","brazil approves astrazeneca and chinese coronavirus vaccines sinovac
vaccination programme begins after green li","joy","positive"
"334","which covid19 vaccination if any would you prefer to take feel free to elaborate on the matter below in the co","joy","positive"
"335","in indonesia president jokowi received 1st dose of chinas sinovac vaccine on 13 jan kicking off the national immun","anger","positive"
"336","presidential spokesperson harry roque made this assurance insisting that sinovac has accorded the best price to the philip","joy","positive"
"337","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"338","presidential spokesperson harry roque made this assurance insisting that sinovac has accorded the best price to the philip","joy","positive"
"339","presidential spokesperson harry roque made this assurance insisting that sinovac has accorded the best price to","joy","positive"
"340","yin weidong ceo of sinovac biotech said when all clinical data and materials on vaccines are ready the company wil","fear","positive"
"341","yin weidong ceo of sinovac biotech said inactivated vaccine made by sinovac is safe","joy","positive"
"342","basahin privilege speech ni sentungkol sa vaccine ng sinovac

when the pfizer issue came about we as","joy","positive"
"343","basahin privilege speech ni sentungkol sa vaccine ng sinovac

when the pfizer issue came about we as","joy","positive"
"344","basahin privilege speech ni sentungkol sa vaccine ng sinovac

when the pfizer issue came about","joy","positive"
"345","china trying to push their sinovac vaccine that actually caused severe health issues that halted trials in brazil","joy","negative"
"346","mali yan palace denies sinovac deal not yet a done deal

 
","sadness","positive"
"347","coronavirus worldwide the number of confirmed cases reaches 95491215 coronavac sinovac pazaesilock","surprise","positive"
"348","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"349","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"350","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"351","prime minister hun sen rejects repos that cambodia rejected chinas sinovac vaccine i have never said such a thi","sadness","positive"
"352","many countries are already using vaccines including those of china sinopharm and sinovac which are our necessities","fear","positive"
"353","to quote a ceain foulmouthed senior citizen from davao who somehow found his way to malacañang dapat mayor mau","joy","negative"
"354","china vaccine sinovac repoed 50 success ratio only 
this chinese ccp regime is full of liesstill playin","fear","positive"
"355","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"356","both the oxfordastrazeneca vaccine and sinovac are being rolled out in brazil who have a huge problem because of","fear","negative"
"357","approvati per uso di emergenza health regulator authorises emergency use of sinovac astrazeneca vaccines amid pandemics","fear","positive"
"358","sinovac its the culture of cheating faking results for face saving nothing is more impoant that the glory of mo","joy","positive"
"359","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"360","brazil on sunday approved the emergency use of coronavirus vaccines developed by chinas sinovac biotech as the country","joy","positive"
"361","brazilian health regulator anvisa on sunday approved emergency use of covid19 vaccines from chinas sinovac biote","joy","positive"
"362","l o a d i n g🧬🦠 backstage ankara me life happy day health energy loading shadow online apple new black go","joy","negative"
"363","l o a d i n g🧬🦠 backstage ankara me life happy day health energy loading shadow online apple new","joy","neutral"
"364","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"365","brazils health regulator gave emergency approval for 2 coronavirus vaccines kicking off a mass inoculation campai","fear","positive"
"366","brazils health regulator gave emergency approval for 2 coronavirus vaccines kicking off a mass inoculation campai","fear","positive"
"367","coronavirus worldwide the number of confirmed cases reaches 95491215 coronavac sinovac pazaesi","surprise","positive"
"368","overview of covid19 vaccines

oxford astrazeneca sinovac pfizer biontech moderna sputnik johnsonandjohnson","surprise","positive"
"369","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"370","brazils health regulatory agency anvisaunanimously approved on sunday the emergency use of the","joy","positive"
"371","cambodias prime minister hun sen confirmation of china donate a million doses of covid19","sadness","positive"
"372","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"373","brazil on sunday approved the emergency use of coronavirus vaccines developed by chinas sinovac biotech as the country","joy","positive"
"374","brazil will begin mass vaccination against covid19 on wednesday health minister eduardo pazuello announced on s","joy","positive"
"375","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"376","congratulation to azerbaijan azerbaijans president amp turkey people forsinovac vaccinati","disgust","positive"
"377","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"378","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"379","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"380","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"381","many countries are already using vaccines including those of china sinopharm and sinovac which are our necessities","fear","positive"
"382","prime minister hun sen rejects repos that cambodia rejected chinas sinovac vaccine i have never said such a thi","sadness","positive"
"383","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"384","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"385","brazil on sunday approved the emergency use of coronavirus vaccines developed by chinas sinovac biotech as the country","joy","positive"
"386","many countries are already using vaccines including those of china sinopharm and sinovac which are our necessities","fear","positive"
"387","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"388","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"389","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"390","brazil has staed rolling out covid19 vaccinations on sunday after the countrys health regulator approved emerg","joy","positive"
"391","thanks to cambodias prime minister hun sen confirm amp confidence in commitment amp trust of","joy","positive"
"392","many countries are already using vaccines including those of china sinopharm and sinovac which are our necessities","fear","positive"
"393","in a december 2020 poll only 37 percent of indonesians said they were willing to get vaccinated
mashablesea","joy","neutral"
"394","brazil clears emergency use of sinovac astrazeneca vaccines shots begin","fear","positive"
"395","malacañang on sunday rejected claims that the vaccine developed by chinas sinovac biotech ltd costs php3600 per","sadness","positive"
"396","malacañang on sunday rejected claims that the vaccine developed by chinas sinovac biotech ltd costs php3600 per","sadness","positive"
"397","brazil clears emergency use of sinovac astrazeneca vaccines 
 

sharjah24","fear","positive"
"398","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"399","prime minister hun sen rejects repos that cambodia rejected chinas sinovac vaccine i have never said such a thi","sadness","positive"
"400","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"401","prime minister hun sen rejects repos that cambodia rejected chinas sinovac vaccine i have never said such a thi","sadness","positive"
"402","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"403","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"404","roque says national government will reveal price of chinas sinovac vaccine once deal is finalized","fear","neutral"
"405","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"406","prime minister hun sen rejects repos that cambodia rejected chinas sinovac vaccine i have never said such a thi","sadness","positive"
"407","brazil has approved the emergency use of the coronavirus vaccine developed by chinese drug maker sinovac biotech

","sadness","positive"
"408","many countries are already using vaccines including those of china sinopharm and sinovac which are our necessities","fear","positive"
"409","prime minister hun sen rejects repos that cambodia rejected chinas sinovac vaccine i have never said such a thi","sadness","positive"
"410","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"411","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"412","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"413","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"414","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"415","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"416","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"417","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company sin","fear","negative"
"418","brazil approves emergency use of sinovac and astrazeneca vaccinesvia
vaccin covid19","fear","positive"
"419","trials result of sinovacs covid19vaccine in brazil is good enough considering almost all paicipants are highrisk","sadness","positive"
"420","brazilian health regulator approved emergency use of covid19 vaccines from chinas sinovac biotech and brita","fear","positive"
"421","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"422","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"423","how likely are you gonna use a condom thats 504 effective of preventing pregnancy❓🤔 sinovac vaccine casino covid cor","anger","positive"
"424","ukraines lekhim pharmaceutical group signed a contract for the procurement of 5 mln doses of coronavirus vaccine","surprise","positive"
"425","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"426","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur","joy","positive"
"427","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health worke","joy","positive"
"428","brazilian health regulator approved emergency use of covid19 vaccines from chinas sinovac biotech and brita","fear","positive"
"429","brazilian health regulator approved emergency use of covid19 vaccines from chinas sinovac biotech and","fear","positive"
"430","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"431","brazils health regulator on sunday approved the urgent use of coronavirusvaccines made by sinovac and","joy","negative"
"432","coronavirus iran repos 6016 new cases 86 deaths in the last 24 hours iran coronavirus tehran sinovac pfizerbiont","fear","negative"
"433","one of the worst hit southamerica nation brazil has approved amp rolled out sinovac amp astrazeneca vaccine 
this","fear","negative"
"434","on jan 13 turkish health minister fahrettin koca receives a dose of chinas sinovac covid19 vaccine in ankara","disgust","positive"
"435","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"436","trials result of sinovacs covid19vaccine in brazil is good enough considering almost all paicipants are highrisk","sadness","positive"
"437","brazilian health regulator anvisa on sunday approved the emergency use of covid19vaccines from chinas sinovac b","joy","positive"
"438","does anyone know if the chinese vaccine sinovacs final phase 3 efficacy data is outtill end dec it was found to b","joy","positive"
"439","coronavirusupdatebrazil clears emergency use of sinovac astrazeneca vaccines

coronavirusvaccine","fear","positive"
"440","covid19 brazil approves and rolls out astrazeneca and sinovac vaccines🏾
peaceamplove civ225 africaworld ️️🏽 ht","joy","positive"
"441","covid19 brazil approves and rolls out astrazeneca and sinovac vaccines🏾
peaceamplove civ225 africaworld","joy","positive"
"442","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan","joy","positive"
"443","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"444","in indonesia president jokowi received 1st dose of chinas sinovac vaccine on 13 jan kicking off the nationa","anger","positive"
"445","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"446","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"447","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"448","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"449","brazil has approved the emergency use of coronavirus vaccines developed by chinese drug maker sinovac biotech 
brazil","sadness","positive"
"450","brazil has approved the emergency use of coronavirus vaccines developed by chinese drug maker sinovac biotech 
b","sadness","positive"
"451","probably the efficacy that we know now wasnt known at time of purchase it seems that the initial t","anger","positive"
"452","have they asked for it if not why are you pleading for it on their behalf with their extremely","surprise","negative"
"453","brazil on sunday approved the emergency use of coronavirus vaccines developed by chinas sinovac biotech as the country","joy","positive"
"454","brazil on sunday approved the emergency use of coronavirus vaccines developed by chinas sinovac biotech as the country","joy","positive"
"455","brazil on sunday approved the emergency use of coronavirus vaccines developed by chinas sinovac biotech as the country","joy","positive"
"456","brazil on sunday approved the emergency use of coronavirus vaccines developed by chinas sinovac biotech as the country","joy","positive"
"457","brazil on sunday approved the emergency use of coronavirus vaccines developed by chinas sinovac biotech as the","joy","positive"
"458","approvati per uso di emergenza health regulator authorises emergency use of sinovac astrazeneca vaccines amid pandemics","fear","positive"
"459","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"460","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"461","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"462","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"463","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"464","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"465","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"466","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"467","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"468","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"469","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"470","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"471","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"472","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"473","in addition to the theand chinesemade sinovac vaccines approved brazil is also considering pu","joy","positive"
"474","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"475","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"476","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"477","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"478","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"479","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"480","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"481","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"482","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"483","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"484","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"485","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"486","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"487","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"488","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"489","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"490","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"491","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"492","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"493","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"494","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"495","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h","joy","positive"
"496","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after","joy","positive"
"497","overview of covid19 vaccines

oxford astrazeneca sinovac pfizer biontech moderna sputnik johnsonandjohnson","surprise","positive"
"498","monicacalazans covid19 vaccinecoronavac coronavaccine sinovac mônica may the immunization be with you","fear","positive"
"499","monicacalazans covid19 vaccinecoronavac coronavaccine sinovac mônica may the immunization be with","fear","positive"
"500","overview of covid19 vaccines

oxford astrazeneca sinovac pfizer biontech moderna sputnik","surprise","positive"
"501","approvati per uso di emergenza health regulator authorises emergency use of sinovac astrazeneca vaccines amid pa","fear","positive"
"502","dear general galvez

why is it published in bangkok thailand that sinovac is only 500 per dose you testified in th","joy","positive"
"503","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company sin","fear","negative"
"504","hahah the similarity is uncanny sinovac","fear","positive"
"505","sinovac the chinese vaccine 
sinovac brazil results show chinese vaccine 504 effectivebbc news","joy","negative"
"506","coronavirus iran repos 6016 new cases 86 deaths in the last 24 hours iran coronavirus tehran sinovac","fear","negative"
"507","brazil regulator to decide on emergency use of sinovac astrazeneca vaccines

","fear","positive"
"508","what makes vaccines social

some people are wary of or may refuse vaccines social scientists are pa of","fear","negative"
"509","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company sin","fear","negative"
"510","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company sin","fear","negative"
"511","sinovac is banned by brazil gov","fear","positive"
"512","turkeys coronavirus death toll rises to 23997 turkey coronaviruspandemicsinovacpfizer lockdown","anger","negative"
"513","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company sin","fear","negative"
"514","turkeys coronavirus death toll rises to 23997 turkey coronaviruspandemicsinovacpfizer","anger","negative"
"515","brazil has approved the emergency use of a coronavirus vaccine developed by chinas sinovac 

","fear","positive"
"516","brazil has approved the emergency use of a coronavirus vaccine developed by chinas sinovac 

","fear","positive"
"517","brazil has approved the emergency use of a coronavirus vaccine developed by chinas sinovac","fear","positive"
"518","turkey 700000health workers vaccinated in 4 days 
sinovac

","joy","positive"
"519","sinovac 63 not 78 effective

inactivated covidvaccine data gets dodgier still as now they apparently cannot even do","fear","positive"
"520","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company sin","fear","negative"
"521","brazil regulator poised to approve astrazeneca sinovac shotsbbg
astrazeneca sinovac azn","fear","positive"
"522","brazil approves sinovac and astrazeneca covid19 vaccines 
astrazeneca sinovac azn","surprise","positive"
"523","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company sin","fear","negative"
"524","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company sin","fear","negative"
"525","brazils health regulator anvisa on sunday authorized the emergency use of vaccine developed by chinese company","fear","positive"
"526","india has produced 2 different coronavirus vaccines amp plans to vaccinate entire 12 billion populati","disgust","positive"
"527","brazil nepal srilanka have refused sinovac its a slap for china amp win for azn","anger","negative"
"528","brazil nepal srilanka have refused sinovac its a slap for china amp win for azn","anger","negative"
"529","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"530","brazil regulator poised to approve astrazeneca sinovac shotsbbg
astrazeneca sinovac azn","fear","positive"
"531","how likely are you gonna use a condom thats 504 effective of preventing pregnancy❓🤔 sinovac vaccine casino covid cor","anger","positive"
"532","more than 700000 health care workers in turkey have received the first dose of the covid19 vaccine the health m","joy","positive"
"533","world is not reposing any trust in vaccine developed by china the land of coronavirus sinovac failure rate in br","fear","neutral"
"534","yaa they are already taking care

sinovac","anger","positive"
"535","vaccinated by sinovac 
tiktok netflix sinovac vaccine covid19","surprise","positive"
"536","honestly bro can you please confirm that pakistan has cleared oxford vaccine without trials in","disgust","positive"
"537","coronavirus iran repos 6016 new cases 86 deaths in the last 24 hours iran coronavirus tehran sinovac pfizerbiont","fear","negative"
"538","coronavirus iran repos 6016 new cases 86 deaths in the last 24 hours iran coronavirus tehran sinovac","fear","negative"
"539","there was once a leader named rody
whose rule was very much shoddy 
he chose the more expensive vaccine
and when people ke","anger","negative"
"540","covid19 vs covidvaccine an interesting observationpfizer mrna sinovac moderna","surprise","positive"
"541","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"542","the size of dutee and saras trust rating is something that could have been used to boost the peoples morale if","anger","positive"
"543","pfizer vaccine too risky for very old people norway warns
god protects everyone
prayers for everyone 
please w","fear","neutral"
"544","which vaccine do you trust the most

covid19 coronavirus pfizer astrazeneca moderna sputnikv sinovac sinopharm","surprise","positive"
"545","state media globaltimes just published an aicle trying to defame pfizers vaccine with big typos in the aicle 

it tw","sadness","neutral"
"546","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"547","state media globaltimes just published an aicle trying to defame pfizers vaccine with big typos in the aicle 

it tw","sadness","neutral"
"548","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"549","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"550","mixed results for sinovac covidー19 vaccine
researchers in brazil repoed that coronavac developed by beijingbased","sadness","positive"
"551","effectiveness against moderate and severe cases is more impoant than efficacy

covidvaccine 
sinovac","surprise","neutral"
"552","state media globaltimes just published an aicle trying to defame pfizers vaccine with big typos in the aicle 

it tw","sadness","neutral"
"553","opinion anna malindoguy an academic and president of techperformance corp states that the challenge at the momen","anger","negative"
"554","does anyone know if the chinese vaccine sinovacs final phase 3 efficacy data is outtill end dec it was found","joy","positive"
"555","let it be known huwagmagtipid buwisbuhay with sinovac","disgust","positive"
"556","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"557","why singling out sinovac","surprise","positive"
"558","turkey has begun its mass covid19 vaccinations with the sinovacjab from china as local manufacturers close in","joy","negative"
"559","how likely are you gonna use a condom thats 504 effective of preventing pregnancy❓🤔 sinovac vaccine casino covid cor","anger","positive"
"560","state media globaltimes just published an aicle trying to defame pfizers vaccine with big typos in the aicle 

it tw","sadness","neutral"
"561","state media globaltimes just published an aicle trying to defame pfizers vaccine with big typos in the aicle 

it tw","sadness","neutral"
"562","trials result of sinovacs covid19vaccine in brazil is good enough considering almost all paicipants are highrisk","sadness","positive"
"563","trials result of sinovacs covid19vaccine in brazil is good enough considering almost all paicipants are highrisk","sadness","positive"
"564","why the wide difference in the prices

hello corrupt officials 🤮

sinovac covidvaccine","anger","negative"
"565","state media globaltimes just published an aicle trying to defame pfizers vaccine with big typos in the aicle 

it tw","sadness","neutral"
"566","read senon sharp differences in the prices of sinovac vaccines in ph and elsewhere

 and on sec","anger","negative"
"567","read senon sharp differences in the prices of sinovac vaccines in ph and elsewhere

 and on sec","anger","negative"
"568","read senon sharp differences in the prices of sinovac vaccines in ph and elsewhere

 and o","anger","negative"
"569","i request government of india andto authorize impo use of sinovac for liberalsleftisturban nax","fear","positive"
"570","concerning vaccine covid19 brasil sinovac","surprise","positive"
"571","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside","fear","positive"
"572","how likely are you gonna use a condom thats 504 effective of preventing pregnancy❓🤔 sinovac vaccine casino covid cor","anger","positive"
"573","many countries are already using vaccines including those of china sinopharm and sinovac which are our necessities","fear","positive"
