"","x"
"91","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"92","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside"
"93","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"94","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"95","i dont know about others
i will wait for coronavac by sinovac"
"96","why did ankara select the sinovac vaccine against covid19 and is china using this to push for some concessions"
"97","in china a dangerous situation is unfolding as state media have launched disinformation campaigns to hit back aga"
"98","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18"
"99","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside"
"100","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"101","i dont know about others
i will wait for coronavac by sinovac"
"102","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"103","bias of rico by referring to sinovac amp sinopharm as drug makers 

pharmaceutical"
"104","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"105","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"106","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18"
"107","anybody out there excited by the russian or sinovac vaccine i am definitely not in that camp"
"108","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"109","chinas big bet pays off beijing reaps rewards with major vaccine expo deals
"
"110","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"111","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"112","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"113","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"114","new data in brazil found that the effectiveness of coronavac the covidvaccine of sinovac was 504at prevent"
"115","i dont know about others
i will wait for coronavac by sinovac"
"116","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"117","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"118","would you vaccinate or not 

vaccinated vaccine coronavirusvaccine pfizerbiontech astrazeneca pfizer"
"119","i dont know about others
i will wait for coronavac by sinovac"
"120","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"121","the southeast asian country has become the first in the world to approve the sinovac covid19 vaccineoutside o"
"122","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside"
"123","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan"
"124","i dont know about others
i will wait for coronavac by sinovac"
"125","president rodrigo dutee is still willing to receive the first dose of coronavirus disease 2019 covid19"
"126","i dont know about others
i will wait for coronavac by sinovac"
"127","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"128","pmhas approved sinovac andcovid19 vaccines in iraqmy sincere greetings and luck for"
"129","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"130","brazil stas vaccination as doria scores points against bolsonarocovid19 vaccine"
"131","pakistan on monday approved the chinese sinopharm covid19 vaccine for emergency use 2 days after astrazenecas vaccine de"
"132","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"133","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"134","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"135","middle east what is the vaccination policy in your country 
 from over 120 countries are discussing th"
"136","how effective is a single dose of covid19 vaccineiwonder vaccination pfizer moderna sinovac sputnik 🦠🏻"
"137","middle east what is the vaccination policy in your country 
 from over 120 countries are discussin"
"138","pakistan on monday approved the chinese sinopharm covid19 vaccine for emergency use 2 days after astrazenecas v"
"139","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"140","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"141","turkish couple they help develop pfizer vaccine but in turkey country they used sinovac vaccinewhy o whypfizers"
"142","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"143","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"144","yeah with 504 efficacy of sinovac what can go wrong what choice does the expat have yet anot"
"145","indonesia ordered the highest number of sinovac vaccines while egypt order the highest number of sinopharm"
"146","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"147","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"148","hi my friend very welcome
thank you for sharing
coimbra pougal
coimbrasummit 
by reuters sta"
"149","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 perc"
"150","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"151","justice secretary menardo guevarra stresses impoance of absolute transparency on covid19 vaccines efficacy"
"152","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"153","hi my friend very welcome
thank you for sharing
coimbra pougal
coimbrasummit 
by reuters"
"154","how many covid19 vaccines has each manufacturer soldt

covid19vaccine covidvaccine sinovac pfizer biontech"
"155","how many covid19 vaccines has each manufacturer soldt

covid19vaccine covidvaccine sinovac pfizer biontech"
"156","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"157","by reuters staff
china sinovac covid19
websummit seo eduardovalenteleadership globalcitizen
chinas si"
"158","brazil uses vaccines of oxford and astrazeneca also those of sinovac are used despite 504 reliability

"
"159","uptodate timeline of world leaders amp rulers who have received the covid19 vaccine 1st shot
pfizer biontech"
"160","by reuters staff
china sinovac covid19
websummit seo eduardovalenteleadership globalcitizen
chinas"
"161","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"162","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"163","efficacy estimates for chinese covid19vaccines diverge widely sinopharm claims 79 without providing details on"
"164","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"165","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"166","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"167","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"168","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"169","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"170","philippine president rodrigo dutee praised the safety of chinese vaccines on monday saying chinas vaccines including"
"171","numbers on the efficacy of the sinovac vaccine have been released are you confident in the vaccine

research"
"172","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"173","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"174","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"175","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"176","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"177","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"178","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"179","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"180","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"181","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"182","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"183","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"184","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18"
"185","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"186","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"187","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou"
"188","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18"
"189","cnnson why disinformation being put out by chinese state media amp officialsall in the name of defen"
"190","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"191","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"192","china sinovac vaccine currently 400 m doses being delivered to turkey indonesia jordan uae seychelles malaysia fo"
"193","philippine president rodrigo dutee praised the safety of chinese vaccines on monday saying chinas vaccines including"
"194","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"195","philippine president rodrigo dutee praised the safety of chinese vaccines on monday saying chinas vaccines in"
"196","which covid19 vaccination if any would you prefer to take feel free to elaborate on the matter below in the comments sect"
"197","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"198","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"199","brazil uses vaccines of oxford and astrazeneca also those of sinovac are used despite 504 reliability

"
"200","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"201","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"202","brazilvaccinates with sinovac

news to improve your spanish intermediate level

coronavirus"
"203","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"204","azerbaijans senior health officials on monday took their first inoculations of a vaccine made by chinas"
"205","azerbaijans senior health officials on monday took their first inoculations of a vaccine made by chinas"
"206","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"207","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"208","if it was successful on uighur and turksi see no reason why shouldnt you trust chinese vaccines"
"209","philippine president rodrigo dutee 
china sinovacs vaccine is now being used in thailand malaysia"
"210","brazilian health regulator anvisa on sunday approved emergency use of covid19 vaccines from chinas sinovac biot"
"211","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"212","heard that mayor of bacolod will purchase sinovac chungkwailaaaah"
"213","azerbaijan kicksoff vaccination with sinovachope all vulnerable people will get it soon"
"214","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"215","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"216","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"217","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"218","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside"
"219","did africa get any of the 25 douses to datecovid19 south africa vaccination coronavaccine"
"220","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"221","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"222","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"223","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"224","bff prices but no corruption philippine government defends deal with chinas sinovac for covid19 vaccine"
"225","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"226","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"227","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"228","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"229","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"230","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"231","questionable characters preaching morality to take off the spotlight from them also probably marketing sinovac"
"232","philippine president rodrigo duteesaid on monday in a latenight televised address that sinovacs vacci"
"233","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"234","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"235","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"236","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"237","philippine president rodrigo duteesaid on monday in a latenight televised address that sinovacs"
"238","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"239","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"240","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"241","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"242","according to chinas sinovac biotech the fastest production cycle of a vaccine takes 48 days and goes through 6"
"243","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"244","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"245","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"246","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"247","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"248","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an"
"249","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae"
"250","sinovac says its covid19 vaccine more effective with longer dosing interval

health covid19 vaccine sinovac"
"251","did harry roque just take a swipe at vice ganda following the covid19 vaccine controversy
sinovac
sabongpanlaba"
"252","sinovac scam got burned so dutee downplays so frustrating nda should be an instant dealbreaker in the civiliz"
"253","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin"
"254","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin"
"255","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"256","sinovac efficacy data
i might as well eat candy and call it a vaccine"
"257","brazilian nurse monica calazans 54 became first brazilian to be vaccinated against the novel coronavirus on jan"
"258","on jan 17 brazils national health surveillance agency has approved the emergency use of coronavirus vaccines"
"259","dear secretary duque
trust is being earned not imposed nor requested 
covidvaccine 
sinovac"
"260","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"261","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun news agen"
"262","azerbaijan began mass vaccination on monday with vaccines from chinas sinovac biotech according to staterun n"
"263","why is repoing vaccine deaths irresponsibly spreading scare stories 
chinas vaccines have not kil"
"264","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 perc"
"265","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 perc"
"266","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 perc"
"267","icymi chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20"
"268","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur"
"269","brazil is staing nationwide vaccination with chinese sinovac vaccine produced locally by são paulo state 

covid19 c"
"270","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan"
"271","this is why it os impoant to know a bit of statistics sinovac vaccine"
"272","many countries are already using vaccines including those of china sinopharm and sinovac which are our necessities"
"273","chinas sinovac biotech said on monday that a clinical trial in brazil showed its covid19 vaccine was almost 20 per"
"274","which covid19 vaccination if any would you prefer to take feel free to elaborate on the matter below in the comments sect"
"275","sinovac says covid19 vaccine efficacy improves 20 percent if dosing interval upped by 7 daysworld news"
"276","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin"
"277","brazil oks two covid19 vaccines stas rolloutsinovac astrazeneca oxforduniversity"
"278","chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 percen"
"279","couldnt survive without you sinovac thank you"
"280","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin"
"281","chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 percentage"
"282","chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 percentage"
"283","chinas sinovac biotech says that a clinical trial in brazil showed its coronavirus vaccine was almost 20 percen"
"284","chinas sinovac brazil data shows actual efficacy less than 50 i feel sorry for citizens of brazil"
"285","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after"
"286","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside"
"287","turkish couple they help develop pfizer vaccine but in turkey country they used sinovac vaccinewhy o why"
"288","brazil is staing nationwide vaccination with chinese sinovac vaccine produced locally by são paulo state 

covid19 c"
"289","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur"
"290","brazil is staing nationwide vaccination with chinese sinovac vaccine produced locally by são paulo state"
"291","chinas sinovac biotech said on monday that a clinical trial in brazil showed its covid19 vaccine was almost 20 per"
"292","chinas sinovac biotech said on monday that a clinical trial in brazil showed its covid19 vaccine was almost 20 per"
"293","chinas sinovac biotech said on monday that a clinical trial in brazil showed its covid19 vaccine was almost 20"
"294","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin"
"295","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin"
"296","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur"
"297","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h"
"298","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin"
"299","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed b"
"300","azerbaijan to begin mass vaccinations with chinas sinovac vaccine on jan 18 announced shahmar movsumov azerbaijan"
"301","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h"
"302","sinovac customer input from philippines"
"303","sinovac says its covid19 vaccine more effective with longer dosing interval astrazeneca dosinginterval brazil"
"304","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a delay i"
"305","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a delay i"
"306","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a delay i"
"307","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a delay i"
"308","brazil on sunday staed national inoculation with sinovacs vaccinethe only one available so far due to a dela"
"309","looks like chinaccp rushed this sinovac a bit"
"310","sinovac is only 504 accuracy which means the vaccine will not work half of the times"
"311","this is real good news for the philippines on vaccine and possible recovery of our recovery sinovac"
"312","efficacy estimates for chinese covid19vaccines diverge widely sinopharm claims 79 without providing details on"
"313","presidential spokesperson harry roque made this assurance insisting that sinovac has accorded the best price to the philip"
"314","23 die in norway after receiving pfizer covid19 vaccine

vaccine pfizer pfizerbiontech sinovac sputnikv coronavirusvac"
"315","our officials in the philippines paicularly galvez and roque are claiming the price you mentio"
"316","brazilian nurse monica calazans 54 became the first brazilian to be vaccinated against covid19 on sunday after brazilian h"
"317","coronavirus worldwide the number of confirmed cases reaches 95491215 coronavac sinovac pazaesilock"
"318","turkeys coronavirus death toll rises to 23997 turkey coronaviruspandemicsinovacpfizer lockdown"
"319","highest intl confidence on chinese vaccines

sinovac 
1 turkish president2021114
2 indonesian preside"
"320","turkeys coronavirus death toll rises to 23997 turkey coronaviruspandemicsinovacpfizer"
"321","question why does the ph have a confidentiality agreement with china while all other countries dealing with them a"
"322","turkey has begun its rollout of a coronavirus vaccine from chinas sinovac biotech staing with health workers tur"
"323","lets all remember covidー19 covid19 is just one of the viruses we will live with forever lets not forget the rest"
"324","coronavirus worldwide the number of confirmed cases reaches 95491215 coronavac sinovac pazaesi"
"325","getting vaccines from both turkeysinovacand the eupfizerbiontechis a huge oppounity for the"
"326","the sãopaulo government and butantan institute revealed that the sinovac covid19 vaccine is 156 less effecti"
