"","text","emotion","polarity"
"74","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"75","state media globaltimes just published an aicle trying to defame pfizers vaccine with big typos in the aicle 

it tw","sadness","neutral"
"76","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"77","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"78","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"79","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"80","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"81","a journalist of the newspaper yeniakit abdurrahmandilipak sued against turkish health ministry to stop immunizat","joy","positive"
"82","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"83","turkey had vaccinated half a million people in two days with vaccines developed by chinas sinovac biotech","anger","positive"
"84","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"85","sinovac has only 504efficacy china cant even produce a good quality vaccine like all other chinese products","joy","positive"
"86","while chinas use of pharmaceutical ingredients required for covid19 vaccines to punish brazil is reprehensible the bi","fear","negative"
"87","all those who opposed to be vaccinated by indigenously researched vaccines of india","anger","positive"
"88","all those who opposed to be vaccinated by indigenously researched vaccines of india","anger","positive"
"89","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"90","azerbaijans senior health officials on monday took their first inoculations of a vaccine made by chinas sinovac","joy","positive"
"91","chinas vaccines including those from sinovac and sinopharm are being used in indonesia turkey egypt the uae brazil an","surprise","positive"
"92","chinese covid19 vaccines have already received a large number of orders from all over the world as of jan 17 18 cou","disgust","positive"
"93","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"94","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"95","i dont know about others
i will wait for coronavac by sinovac","anger","positive"
"96","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"97","while chinas use of pharmaceutical ingredients required for covid19 vaccines to punish brazil is reprehensible","fear","negative"
"98","forabolsonaro forabolsonarogenocida forapazuello forabol卐onaro impeachmentbolsonaro impeachmentbolsonarourgente impeach","disgust","negative"
"99","forabolsonaro forabolsonarogenocida forapazuello forabol卐onaro impeachmentbolsonaro","surprise","positive"
"100","l o a d i n g🧬🦠 backstage ankara me life happy day health energy loading shadow online apple new black go","joy","negative"
"101","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"102","pmhas approved sinovac andcovid19 vaccines in pakistanmy sincere greetings and lu","joy","positive"
"103","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"104","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"105","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"106","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"107","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"108","dear chinese government we the brazilian people do not agree with the federal governments lack of education tow","fear","positive"
"109","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"110","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"111","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"112","some of the orders for sinovac sinopharm vaccines","surprise","positive"
"113","pakistan on monday approved the chinese sinopharm covid19 vaccine for emergency use 2 days after astrazenecas vaccine de","fear","positive"
"114","how many covid19 vaccines has each manufacturer soldt

covid19vaccine covidvaccine sinovac pfizer biontech moderna","surprise","positive"
"115","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin","surprise","positive"
"116","on 18 janazerbaijan has staed vaccinating its citizens against covid19 using sinovac vaccine developed by chin","surprise","positive"
